2025-04-22 14:25:12,949 | MainThread   | [INFO    ] | print_prediction_stats|: POS ERROR        : (-0.100, 0.387, 327.070)
2025-04-22 14:25:12,950 | MainThread   | [INFO    ] | print_prediction_stats|: ---------- PREDICTION STATS -----------
2025-04-22 14:25:15,915 | MainThread   | [INFO    ] | print_update_stats  |: ---------- UPDATE STATS -----------
2025-04-22 14:25:15,924 | MainThread   | [INFO    ] | print_update_stats  |: GT index      : (7, 2, 5)
2025-04-22 14:25:15,924 | MainThread   | [INFO    ] | print_update_stats  |: Bel index     : (np.int64(6), np.int64(2), np.int64(5)) with prob = 1.0
2025-04-22 14:25:15,925 | MainThread   | [INFO    ] | print_update_stats  |: Bel_bar prob at index = 0.04093536859328119
2025-04-22 14:25:15,925 | MainThread   | [INFO    ] | print_update_stats  |: GT            : (0.510, -0.528, 657.070)
2025-04-22 14:25:15,926 | MainThread   | [INFO    ] | print_update_stats  |: Belief        : (0.305, -0.610, -70.000)
2025-04-22 14:25:15,926 | MainThread   | [INFO    ] | print_update_stats  |: POS ERROR     : (0.205, 0.082, 727.070)
2025-04-22 14:25:15,927 | MainThread   | [INFO    ] | print_update_stats  |: ---------- UPDATE STATS -----------
2025-04-22 14:25:16,985 | MainThread   | [INFO    ] | print_prediction_stats|: ---------- PREDICTION STATS -----------
2025-04-22 14:25:17,000 | MainThread   | [INFO    ] | print_prediction_stats|: GT index         : (7, 2, 4)
2025-04-22 14:25:17,000 | MainThread   | [INFO    ] | print_prediction_stats|: Prior Bel index  : (np.int64(4), np.int64(1), np.int64(4)) with prob = 0.1218974
2025-04-22 14:25:17,001 | MainThread   | [INFO    ] | print_prediction_stats|: POS ERROR        : (0.815, 0.387, 724.914)
2025-04-22 14:25:17,002 | MainThread   | [INFO    ] | print_prediction_stats|: ---------- PREDICTION STATS -----------
2025-04-22 14:25:19,954 | MainThread   | [INFO    ] | print_update_stats  |: ---------- UPDATE STATS -----------
2025-04-22 14:25:19,967 | MainThread   | [INFO    ] | print_update_stats  |: GT index      : (7, 2, 4)
2025-04-22 14:25:19,967 | MainThread   | [INFO    ] | print_update_stats  |: Bel index     : (np.int64(6), np.int64(2), np.int64(4)) with prob = 1.0
2025-04-22 14:25:19,968 | MainThread   | [INFO    ] | print_update_stats  |: Bel_bar prob at index = 2.1054197329039837e-50
2025-04-22 14:25:19,968 | MainThread   | [INFO    ] | print_update_stats  |: GT            : (0.510, -0.528, 994.150)
2025-04-22 14:25:19,969 | MainThread   | [INFO    ] | print_update_stats  |: Belief        : (0.305, -0.610, -90.000)
2025-04-22 14:25:19,970 | MainThread   | [INFO    ] | print_update_stats  |: POS ERROR     : (0.205, 0.082, 1084.150)
2025-04-22 14:25:19,970 | MainThread   | [INFO    ] | print_update_stats  |: ---------- UPDATE STATS -----------
2025-04-22 14:25:21,034 | MainThread   | [INFO    ] | print_prediction_stats|: ---------- PREDICTION STATS -----------
2025-04-22 14:25:21,052 | MainThread   | [INFO    ] | print_prediction_stats|: GT index         : (7, 0, 4)
2025-04-22 14:25:21,052 | MainThread   | [INFO    ] | print_prediction_stats|: Prior Bel index  : (np.int64(6), np.int64(1), np.int64(5)) with prob = 0.2527347
2025-04-22 14:25:21,053 | MainThread   | [INFO    ] | print_prediction_stats|: POS ERROR        : (0.234, -0.006, 1064.150)
2025-04-22 14:25:21,054 | MainThread   | [INFO    ] | print_prediction_stats|: ---------- PREDICTION STATS -----------
2025-04-22 14:25:24,012 | MainThread   | [INFO    ] | print_update_stats  |: ---------- UPDATE STATS -----------
2025-04-22 14:25:24,025 | MainThread   | [INFO    ] | print_update_stats  |: GT index      : (7, 0, 4)
2025-04-22 14:25:24,025 | MainThread   | [INFO    ] | print_update_stats  |: Bel index     : (np.int64(7), np.int64(1), np.int64(4)) with prob = 1.0
2025-04-22 14:25:24,026 | MainThread   | [INFO    ] | print_update_stats  |: Bel_bar prob at index = 5.0868669605326564e-08
2025-04-22 14:25:24,026 | MainThread   | [INFO    ] | print_update_stats  |: GT            : (0.539, -0.927, 1354.150)
2025-04-22 14:25:24,027 | MainThread   | [INFO    ] | print_update_stats  |: Belief        : (0.610, -0.914, -90.000)
2025-04-22 14:25:24,028 | MainThread   | [INFO    ] | print_update_stats  |: POS ERROR     : (-0.071, -0.012, 1444.150)
2025-04-22 14:25:24,029 | MainThread   | [INFO    ] | print_update_stats  |: ---------- UPDATE STATS -----------
2025-04-22 14:25:27,091 | MainThread   | [INFO    ] | print_prediction_stats|: ---------- PREDICTION STATS -----------
2025-04-22 14:25:27,107 | MainThread   | [INFO    ] | print_prediction_stats|: GT index         : (8, 0, 8)
2025-04-22 14:25:27,107 | MainThread   | [INFO    ] | print_prediction_stats|: Prior Bel index  : (np.int64(6), np.int64(0), np.int64(8)) with prob = 0.3128674
2025-04-22 14:25:27,108 | MainThread   | [INFO    ] | print_prediction_stats|: POS ERROR        : (0.498, 0.149, 1449.138)
2025-04-22 14:25:27,108 | MainThread   | [INFO    ] | print_prediction_stats|: ---------- PREDICTION STATS -----------
2025-04-22 14:25:30,070 | MainThread   | [INFO    ] | print_update_stats  |: ---------- UPDATE STATS -----------
2025-04-22 14:25:30,082 | MainThread   | [INFO    ] | print_update_stats  |: GT index      : (8, 0, 8)
2025-04-22 14:25:30,082 | MainThread   | [INFO    ] | print_update_stats  |: Bel index     : (np.int64(8), np.int64(1), np.int64(9)) with prob = 0.9999999
2025-04-22 14:25:30,083 | MainThread   | [INFO    ] | print_update_stats  |: Bel_bar prob at index = 2.9758651277430095e-25
2025-04-22 14:25:30,083 | MainThread   | [INFO    ] | print_update_stats  |: GT            : (0.802, -1.070, 1799.615)
2025-04-22 14:25:30,084 | MainThread   | [INFO    ] | print_update_stats  |: Belief        : (0.914, -0.914, 10.000)
2025-04-22 14:25:30,084 | MainThread   | [INFO    ] | print_update_stats  |: POS ERROR     : (-0.112, -0.156, 1789.615)
2025-04-22 14:25:30,084 | MainThread   | [INFO    ] | print_update_stats  |: ---------- UPDATE STATS -----------
2025-04-22 14:25:36,148 | MainThread   | [INFO    ] | print_prediction_stats|: ---------- PREDICTION STATS -----------
