2025-04-28 11:49:48,600 | MainThread   | [INFO    ] | notification_handler|: Data Notification Received...processing
2025-04-28 11:49:48,602 | MainThread   | [INFO    ] | notification_handler|: Data Notification Received...processing
2025-04-28 11:49:48,603 | MainThread   | [INFO    ] | notification_handler|: Data Notification Received...processing
2025-04-28 11:49:48,631 | MainThread   | [INFO    ] | notification_handler|: Data Notification Received...processing
2025-04-28 11:49:48,632 | MainThread   | [INFO    ] | notification_handler|: Data Notification Received...processing
2025-04-28 11:49:48,690 | MainThread   | [INFO    ] | notification_handler|: Data Notification Received...processing
2025-04-28 11:49:48,691 | MainThread   | [INFO    ] | notification_handler|: Data Notification Received...processing
2025-04-28 11:49:48,720 | MainThread   | [INFO    ] | notification_handler|: Data Notification Received...processing
2025-04-28 11:49:48,722 | MainThread   | [INFO    ] | notification_handler|: Data Notification Received...processing
2025-04-28 11:49:48,750 | MainThread   | [INFO    ] | notification_handler|: Data Notification Received...processing
2025-04-28 11:49:48,780 | MainThread   | [INFO    ] | notification_handler|: Data Notification Received...processing
2025-04-28 11:49:48,781 | MainThread   | [INFO    ] | notification_handler|: Data Notification Received...processing
2025-04-28 11:49:48,811 | MainThread   | [INFO    ] | notification_handler|: Data Notification Received...processing
2025-04-28 11:49:48,813 | MainThread   | [INFO    ] | notification_handler|: Data Notification Received...processing
2025-04-28 11:49:48,840 | MainThread   | [INFO    ] | notification_handler|: Data Notification Received...processing
2025-04-28 11:49:48,870 | MainThread   | [INFO    ] | notification_handler|: Data Notification Received...processing
2025-04-28 11:49:53,541 | MainThread   | [INFO    ] | perform_observation_loop|: Finished receiving data.
2025-04-28 11:49:53,541 | MainThread   | [INFO    ] | perform_observation_loop|: [[34926.0, -2.0, 0, 790.0], [38198.0, 17.0, 0, 1382.0], [38764.0, 37.0, 0, 1405.0], [39718.0, 57.0, 0, 801.0], [40303.0, 77.0, 0, 1007.0], [40952.0, 97.0, 0, 3287.0], [43406.0, 117.0, 0, 2617.0], [45164.0, 137.0, 0, 1254.0], [46147.0, 158.0, 0, 685.0], [46683.0, 177.0, 0, 419.0], [47238.0, 197.0, 0, 335.0], [49480.0, 217.0, 0, 297.0], [50530.0, 237.0, 0, 279.0], [51224.0, 257.0, 0, 323.0], [52683.0, 278.0, 0, 546.0], [53307.0, 297.0, 0, 525.0], [54105.0, 317.0, 0, 529.0], [54767.0, 338.0, 0, 612.0]]
2025-04-28 12:00:34,477 | MainThread   | [INFO    ] | perform_observation_loop|: Performing Observation Loop
2025-04-28 12:00:55,267 | MainThread   | [INFO    ] | notification_handler|: Done Notification Received
2025-04-28 12:00:55,326 | MainThread   | [INFO    ] | perform_observation_loop|: Collecting Data
2025-04-28 12:00:55,418 | MainThread   | [INFO    ] | notification_handler|: Data Notification Received...processing
2025-04-28 12:00:55,419 | MainThread   | [INFO    ] | notification_handler|: Data Notification Received...processing
2025-04-28 12:00:55,449 | MainThread   | [INFO    ] | notification_handler|: Data Notification Received...processing
2025-04-28 12:00:55,449 | MainThread   | [INFO    ] | notification_handler|: Data Notification Received...processing
2025-04-28 12:00:55,450 | MainThread   | [INFO    ] | notification_handler|: Data Notification Received...processing
